City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Cap Malheureux,MU,79.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
631,Margherita,IN,84.2,haze,27.28,95.68,Dehing Guest House
632,Isa Khel,AF,72.03,clear sky,36.67,68.84,راعون انصاف شرکتRAGON INSAF
634,Lucea,JM,78.8,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
636,Chabahar,IR,73.4,clear sky,25.29,60.64,هتل گدروشیا
637,Pouembout,NC,78.33,scattered clouds,-21.13,164.9,Camping de Tipenga
641,Vao,NC,73.17,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
642,Ratnagiri,IN,81.82,scattered clouds,16.98,73.3,Hotel Landmark
643,Chuzhou,CN,73.99,light rain,32.32,118.3,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
644,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
646,Puerto Colombia,CO,77.0,scattered clouds,10.99,-74.95,Hotel El Emigrante
648,Ewo,CG,71.58,overcast clouds,-0.87,14.82,Residence Elonda Ewo
649,Korhogo,CI,71.37,light rain,9.45,-5.63,Hotel Le Recul
652,Ilhabela,BR,71.24,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
655,Sao Felix Do Xingu,BR,73.85,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
656,Kinablangan,PH,86.54,light rain,7.69,126.55,Mainit Balete Hot Spring
661,Mongu,ZM,70.48,clear sky,-15.25,23.13,Country Lodge Mongu
663,Bom Jesus Da Lapa,BR,76.64,broken clouds,-13.26,-43.42,Hotel das Nações
664,Cockburn Town,TC,82.13,overcast clouds,21.46,-71.14,Osprey Beach Hotel
665,Cosala,MX,84.0,few clouds,24.41,-106.69,Hotel Real del Conde
666,Boke,GN,74.57,broken clouds,10.94,-14.3,Hôtel Rio Nunez - Boké
669,Labrea,BR,74.19,light rain,-7.26,-64.8,Hotel Novo Horizonte
